time,id,iq,vd,vq,theta_e,omega_e,omega_m,torque
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.050000,0.100000,1.000000,0.500000,0.000100,0.100000,0.012500,0.001200
0.002000,0.075000,0.200000,1.500000,1.000000,0.000300,0.200000,0.025000,0.002400
0.003000,0.087500,0.350000,1.750000,1.750000,0.000600,0.350000,0.043750,0.004200
0.004000,0.093750,0.525000,1.875000,2.625000,0.001050,0.525000,0.065625,0.006300
0.005000,0.096875,0.712500,1.937500,3.562500,0.001663,0.712500,0.089063,0.008550
0.006000,0.098438,0.903125,1.968750,4.515625,0.002463,0.903125,0.112891,0.010838
0.007000,0.099219,1.090625,1.984375,5.453125,0.003466,1.090625,0.136328,0.013088
0.008000,0.099609,1.271875,1.992188,6.359375,0.004688,1.271875,0.158984,0.015263
0.009000,0.099805,1.443750,1.996094,7.218750,0.006141,1.443750,0.180469,0.017325
0.010000,0.099902,1.604688,1.998047,8.023438,0.007840,1.604688,0.200586,0.019256
0.015000,0.099988,2.246875,1.999756,11.234375,0.018203,2.246875,0.280859,0.026963
0.020000,0.099998,2.673438,1.999969,13.367188,0.034844,2.673438,0.334180,0.032081
0.025000,0.100000,2.968750,1.999992,14.843750,0.058984,2.968750,0.371094,0.035625
0.030000,0.100000,3.175781,1.999998,15.878906,0.091797,3.175781,0.396973,0.038109
0.035000,0.100000,3.325195,1.999999,16.625977,0.134473,3.325195,0.415649,0.039902
0.040000,0.100000,3.436523,2.000000,17.182617,0.188184,3.436523,0.429565,0.041238
0.045000,0.100000,3.521484,2.000000,17.607422,0.254082,3.521484,0.440186,0.042258
0.050000,0.100000,3.587891,2.000000,17.939453,0.333301,3.587891,0.448486,0.043055
0.060000,0.100000,3.681641,2.000000,18.408203,0.534766,3.681641,0.460205,0.044180
0.070000,0.100000,3.743164,2.000000,18.715820,0.787500,3.743164,0.467896,0.044918
0.080000,0.100000,3.783691,2.000000,18.918457,1.094453,3.783691,0.472961,0.045404
0.090000,0.100000,3.810547,2.000000,19.052734,1.457422,3.810547,0.476318,0.045727
0.100000,0.100000,3.828613,2.000000,19.143066,1.878125,3.828613,0.478577,0.045943
0.120000,0.100000,3.850098,2.000000,19.250488,2.890625,3.850098,0.481262,0.046201
0.140000,0.100000,3.861328,2.000000,19.306641,4.125000,3.861328,0.482666,0.046336
0.160000,0.100000,3.867676,2.000000,19.338379,5.593750,3.867676,0.483460,0.046412
0.180000,0.100000,3.871582,2.000000,19.357910,7.312500,3.871582,0.483948,0.046459
0.200000,0.100000,3.874023,2.000000,19.370117,9.296875,3.874023,0.484253,0.046488
