time,id,iq,vd,vq,theta_e,omega_e,omega_m,torque
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,523.598785,65.449848,0.000000
0.001000,0.000500,0.125000,0.025000,0.312500,0.523599,523.598785,65.449848,0.001500
0.002000,0.001000,0.468750,0.050000,0.859375,1.047198,523.598785,65.449848,0.005625
0.003000,0.001500,0.851563,0.075000,1.367188,1.570796,523.585785,65.448223,0.010219
0.004000,0.002000,1.195313,0.100000,1.816406,2.094395,523.559785,65.444973,0.014344
0.005000,0.002500,1.496094,0.125000,2.210938,2.617994,523.520785,65.440098,0.017953
0.006000,0.003000,1.757813,0.150000,2.556641,3.141593,523.468785,65.433598,0.021094
0.007000,0.003500,1.984375,0.175000,2.859375,3.665191,523.403785,65.425473,0.023813
0.008000,0.004000,2.179688,0.200000,3.124023,4.188790,523.325785,65.415723,0.026156
0.009000,0.004500,2.347656,0.225000,3.354980,4.712389,523.234785,65.404348,0.028172
0.010000,0.005000,2.491211,0.250000,3.556152,5.235988,523.130785,65.391348,0.029895
0.015000,0.007500,2.996094,0.375000,4.281250,7.853982,522.430785,65.303848,0.035953
0.020000,0.010000,3.297852,0.500000,4.734375,10.471976,521.430785,65.178848,0.039574
0.025000,0.012500,3.473633,0.625000,5.022461,13.089970,520.130785,65.016348,0.041684
0.030000,0.015000,3.572998,0.750000,5.203125,15.707963,518.530785,64.816348,0.042876
0.035000,0.017500,3.627441,0.875000,5.312500,18.325957,516.630785,64.578848,0.043529
0.040000,0.020000,3.656006,1.000000,5.375000,20.943951,514.430785,64.303848,0.043872
0.045000,0.022500,3.669922,1.125000,5.406250,23.561945,511.930785,63.991348,0.044039
0.050000,0.025000,3.676758,1.250000,5.421875,26.179939,509.130785,63.641348,0.044121
0.060000,0.030000,3.683594,1.500000,5.437500,31.415927,502.930785,62.866348,0.044203
0.070000,0.035000,3.685547,1.750000,5.441406,36.651914,495.930785,61.991348,0.044227
0.080000,0.040000,3.686035,2.000000,5.442383,41.887902,488.130785,61.016348,0.044232
0.090000,0.045000,3.686157,2.250000,5.442627,47.123890,479.530785,59.941348,0.044234
0.100000,0.050000,3.686188,2.500000,5.442688,52.359878,470.130785,58.766348,0.044234
0.120000,0.060000,3.686203,3.000000,5.442718,62.831853,448.930785,56.116348,0.044234
0.140000,0.070000,3.686207,3.500000,5.442724,73.303829,424.130785,53.016348,0.044234
0.160000,0.080000,3.686208,4.000000,5.442726,83.775804,395.730785,49.466348,0.044234
0.180000,0.090000,3.686208,4.500000,5.442726,94.247780,363.730785,45.466348,0.044234
0.200000,0.100000,3.686208,5.000000,5.442727,104.719755,328.130785,41.016348,0.044234
